idx,open,high,low,close,volume
575,76553.55,76677.42,76553.55,76608.01,44.2686
576,76608.00,76613.43,76520.43,76594.01,31.8360
577,76594.01,76610.01,76540.73,76598.33,19.5939
578,76598.33,76650.01,76598.33,76622.00,20.6884
579,76622.00,76646.66,76622.00,76636.00,6.4176
580,76636.01,76636.01,76600.00,76616.72,13.1520
581,76616.72,76716.89,76616.72,76714.22,17.5811
582,76714.22,76732.99,76700.00,76711.46,18.9886
583,76711.46,76711.46,76646.11,76646.12,8.6623
584,76646.12,76668.01,76617.67,76617.67,5.6470
585,76617.68,76617.68,76512.00,76527.45,46.7137
586,76527.44,76547.59,76527.44,76532.16,10.1556
587,76532.15,76542.01,76500.00,76541.04,18.5827
588,76541.04,76556.02,76528.00,76556.01,12.6044
589,76556.01,76616.01,76523.99,76523.99,62.5889
590,76523.99,76524.00,76516.00,76516.01,4.8099
591,76516.00,76538.01,76500.00,76506.87,15.4251
592,76506.87,76516.01,76506.86,76516.00,6.6653
593,76516.01,76532.01,76516.00,76532.01,3.9069
594,76532.00,76568.97,76532.00,76560.04,18.7025
595,76560.04,76564.66,76544.00,76560.01,8.5718
596,76560.00,76580.86,76556.87,76568.00,15.7732
597,76568.01,76569.24,76525.00,76525.01,13.0922
598,76525.01,76525.01,76484.00,76484.00,16.2412
599,76484.00,76484.01,76422.42,76454.31,24.3721
600,76454.32,76458.91,76395.51,76415.85,20.8049
601,76415.85,76442.01,76372.01,76394.16,31.5016
602,76394.17,76458.55,76335.61,76365.70,44.9149
603,76365.71,76407.78,76352.00,76367.21,20.2380
604,76367.21,76367.21,76259.99,76270.39,28.0292
605,76270.38,76302.01,76259.98,76266.30,11.1469
606,76266.30,76286.01,76260.00,76273.69,17.3491
607,76273.70,76311.84,76262.00,76309.49,23.7038
608,76309.49,76434.01,76309.48,76434.01,12.4402
609,76434.01,76447.87,76415.82,76418.01,18.7078
610,76418.01,76430.00,76396.01,76422.33,19.5741
611,76422.33,76422.33,76350.00,76358.01,23.9652
612,76358.01,76420.00,76323.37,76420.00,19.1809
613,76419.99,76490.01,76384.04,76462.01,35.5733
614,76462.01,76500.00,76462.00,76465.04,23.4838
615,76465.04,76510.01,76458.02,76494.50,20.8999
616,76494.51,76500.00,76468.26,76490.01,11.2591
617,76490.01,76499.65,76485.11,76496.00,8.9212
618,76496.01,76496.02,76490.00,76490.00,6.5986
619,76490.00,76490.01,76406.44,76406.45,11.0749
620,76406.45,76434.01,76389.77,76425.01,25.0131
621,76425.02,76445.92,76417.75,76436.09,26.8056
622,76436.10,76500.05,76426.47,76455.99,33.6855
623,76455.99,76458.01,76403.99,76458.00,29.5842
624,76458.01,76482.47,76415.35,76417.01,22.6758
625,76417.01,76440.01,76396.08,76426.05,19.8944
626,76426.05,76440.01,76377.31,76440.01,28.2788
627,76440.01,76472.35,76383.60,76472.35,189.1914
628,76472.34,76472.35,76360.92,76360.93,12.6305
629,76360.92,76360.93,76316.00,76358.57,18.1501
630,76358.57,76377.23,76296.00,76374.00,19.9223
631,76374.00,76455.09,76374.00,76455.08,27.9728
632,76455.08,76455.08,76364.73,76365.96,13.1879
633,76365.97,76431.36,76350.00,76431.35,7.1767
634,76431.36,76435.75,76410.00,76435.45,10.5383
635,76435.44,76564.62,76434.00,76564.62,18.6691
636,76564.63,76590.00,76552.00,76590.00,10.9629
637,76589.99,76678.00,76568.00,76575.00,21.8080
638,76575.00,76657.83,76575.00,76656.01,20.5973
639,76656.00,76678.00,76544.00,76550.00,325.9681
640,76550.00,76584.01,76520.00,76584.00,23.4000
641,76584.01,76640.01,76584.00,76600.00,13.7397
642,76600.00,76600.01,76573.16,76588.01,8.9564
643,76588.00,76627.85,76579.96,76596.01,24.5995
644,76596.01,76638.01,76579.97,76630.17,16.9562
645,76630.17,76720.00,76630.16,76696.59,36.1077
646,76696.59,76743.57,76695.47,76743.57,26.3098
647,76743.57,76760.01,76693.58,76734.00,26.0882
648,76734.00,76763.86,76710.00,76744.01,33.0726
649,76744.01,76817.79,76714.00,76715.92,37.3351
650,76715.92,76715.92,76676.00,76676.00,12.8172
651,76676.01,76781.90,76644.00,76770.00,119.6156
652,76770.01,76815.06,76752.00,76752.00,69.4747
653,76752.00,76854.01,76752.00,76840.22,42.5634
654,76840.22,76931.66,76840.20,76931.65,44.7371
655,76931.66,77042.06,76931.65,77035.54,103.8738
656,77035.54,77035.55,77008.00,77008.00,72.3686
657,77008.00,77008.34,76946.63,76946.63,119.7494
658,76946.63,76950.01,76924.00,76950.00,28.0219
659,76950.01,77042.20,76942.00,77038.01,37.3277
660,77038.01,77038.01,76988.30,76988.30,24.4578
661,76988.31,77019.95,76981.94,77019.95,17.7795
662,77019.96,77080.83,77019.95,77045.02,39.3704
663,77045.03,77323.00,77045.02,77322.99,147.5528
664,77322.99,77597.83,77309.48,77436.45,237.4231
665,77436.45,77445.10,77287.44,77331.69,88.9240
666,77331.68,77497.99,77288.00,77426.90,59.6112
667,77426.91,77497.42,77390.00,77409.99,63.3158
668,77410.00,77422.83,77333.90,77333.91,38.6620
669,77333.92,77396.82,77321.24,77343.05,55.7987
670,77343.06,77434.97,77343.05,77419.17,52.3645
671,77419.18,77469.30,77384.15,77408.68,73.9048
672,77408.69,77412.71,77370.19,77383.47,45.7859
673,77383.47,77417.39,77343.06,77343.07,33.2819
674,77343.07,77343.07,77238.89,77238.89,70.4167
675,77238.89,77342.88,77227.08,77291.22,78.4318
676,77291.34,77369.86,77250.91,77337.29,56.0530
677,77338.44,77372.42,77276.21,77276.22,44.3476
678,77276.22,77327.73,77258.13,77276.61,66.2202
679,77276.61,77305.11,77216.76,77246.92,97.7120
680,77246.92,77336.36,77246.92,77320.00,72.1333
681,77320.01,77450.63,77275.00,77450.63,35.7977
682,77450.63,77460.01,77351.77,77351.77,79.5944
683,77351.77,77449.85,77346.61,77449.84,33.1589
684,77449.85,77575.98,77449.84,77575.97,56.9033
685,77575.98,77669.00,77467.67,77467.97,111.3462
686,77467.97,77596.48,77454.54,77495.43,58.1107
687,77495.43,77626.78,77484.49,77528.20,56.2540
688,77528.19,77591.00,77500.00,77541.06,49.6864
689,77541.07,77550.40,77448.43,77511.02,100.1668
690,77511.02,77619.49,77442.93,77600.72,71.6389
691,77600.72,77705.60,77575.77,77677.99,65.9344
692,77677.99,77715.48,77515.43,77649.16,54.2070
693,77649.15,77649.16,77590.64,77590.64,36.7103
694,77590.65,77594.95,77493.79,77519.00,66.8295
695,77519.00,77533.80,77472.26,77477.49,26.7931
696,77477.50,77508.01,77460.00,77493.80,20.0772
697,77493.80,77588.01,77493.79,77564.22,38.6706
698,77564.21,77611.70,77512.24,77512.25,39.5307
699,77512.25,77556.01,77493.92,77496.00,32.6433
700,77496.01,77576.84,77488.00,77537.96,39.2222
701,77537.97,77645.06,77498.79,77640.01,54.1312
702,77640.00,77679.62,77544.00,77544.01,51.4525
703,77544.00,77548.37,77498.00,77498.00,40.7972
704,77498.01,77582.02,77494.39,77574.90,48.7615
705,77574.89,77574.90,77518.00,77526.01,35.0737
706,77526.01,77531.60,77469.29,77506.00,42.4519
707,77506.01,77506.01,77453.33,77453.34,51.0671
708,77453.34,77607.69,77402.32,77604.00,68.1983
709,77604.01,77690.01,77566.11,77671.26,45.3775
710,77671.26,77787.83,77591.45,77628.09,94.5524
711,77628.09,77695.09,77622.00,77627.36,44.9926
712,77627.36,77755.29,77618.00,77755.25,79.3972
713,77755.25,77845.67,77732.45,77762.00,88.8450
714,77762.00,77847.30,77754.00,77798.01,43.2770
715,77798.01,77850.00,77769.90,77822.51,176.3857
716,77822.51,77830.00,77774.04,77774.05,311.3541
717,77774.05,77838.00,77732.49,77822.01,115.3677
718,77822.00,77822.00,77730.57,77749.99,90.6145
719,77750.00,77820.00,77749.99,77784.08,60.2311
720,77784.09,77798.01,77735.14,77798.01,52.8830
721,77798.00,77973.45,77798.00,77906.79,205.1939
722,77906.79,77906.80,77674.00,77693.10,74.8213
